Source data:
n_boxes: 6, m: 5, d: 4, p_change_box: 0.100, nExp = 10000
# 4502, Balls: Black, Black, Blue, Red
# 4503, Balls: Blue, Blue, Blue, Red
# 4504, Balls: Blue, Blue, Red, Blue
# 4505, Balls: Blue, Blue, Black, Red
# 4506, Balls: Black, White, Black, Green
# 4507, Balls: White, Green, White, Green
# 4508, Balls: Black, Red, Red, Blue
# 4509, Balls: Blue, Green, White, Blue
# 4510, Balls: Black, Red, Blue, Red
# 4511, Balls: Red, Red, Green, Red
# 4512, Balls: Red, White, Green, Red
# 4513, Balls: Red, Red, Blue, Black
# 4514, Balls: White, White, Black, Red
# 4515, Balls: Black, Blue, Black, Red
# 4516, Balls: Blue, Black, Green, Red
# 4517, Balls: Blue, Green, Black, Blue
# 4518, Balls: Green, Blue, Red, White
# 4519, Balls: Black, White, Black, Green
# 4520, Balls: Blue, Red, Blue, Red
# 4521, Balls: Green, White, Black, Red
# 4522, Balls: Red, Green, Black, Red
# 4523, Balls: Red, Black, Red, Blue
# 4524, Balls: Red, Blue, Red, White
# 4525, Balls: Blue, Green, White, Red
# 4526, Balls: White, Green, Green, Red
# 4527, Balls: Blue, Blue, Red, Red
# 4528, Balls: Green, Green, Red, Green
# 4529, Balls: Black, Red, Red, White
# 4530, Balls: Blue, Blue, Red, Red
# 4531, Balls: Black, Blue, Black, Blue
# 4532, Balls: Red, White, Black, Red
# 4533, Balls: White, Red, Green, Blue
# 4534, Balls: Red, White, Red, Blue
# 4535, Balls: Blue, Blue, Red, Red
# 4536, Balls: Black, Blue, Red, Red
# 4537, Balls: Red, White, Red, Blue
# 4538, Balls: Red, Green, Red, Red
# 4539, Balls: Red, Blue, White, Red
# 4540, Balls: White, Green, Blue, Blue
# 4541, Balls: Red, Red, Blue, Red
# 4542, Balls: Red, Blue, Blue, Green
# 4543, Balls: Blue, Green, Blue, Red
# 4544, Balls: Red, Red, Red, Red
# 4545, Balls: Red, Red, Black, Blue
# 4546, Balls: Red, Red, Red, Blue
# 4547, Balls: Red, Blue, Blue, Blue
# 4548, Balls: Blue, Blue, Blue, Green
# 4549, Balls: Blue, White, Blue, Green
# 4550, Balls: White, Red, Red, Red
# 4551, Balls: Blue, Red, Green, Red
# 4552, Balls: Blue, Green, Black, Green
# 4553, Balls: White, White, Red, Blue
# 4554, Balls: White, Green, Red, Black
# 4555, Balls: White, Red, Red, Red
# 4556, Balls: Black, White, Black, Red
# 4557, Balls: Blue, Red, Black, Blue
# 4558, Balls: White, Blue, Blue, Red
# 4559, Balls: Red, Blue, Red, Black
# 4560, Balls: Black, Black, Green, Blue
# 4561, Balls: Blue, Red, Red, Blue
# 4562, Balls: Red, Red, Red, Green
# 4563, Balls: Red, Blue, Blue, White
# 4564, Balls: Blue, Green, Red, Red
# 4565, Balls: White, White, Red, Blue
# 4566, Balls: Black, Red, White, Red
# 4567, Balls: Blue, Red, Red, Blue
# 4568, Balls: Red, Red, Red, Red
# 4569, Balls: Green, Red, Red, Blue
# 4570, Balls: White, White, Black, Blue
# 4571, Balls: White, White, Green, Red
# 4572, Balls: Red, Red, Blue, Red
# 4573, Balls: Red, Blue, Blue, Green
# 4574, Balls: Blue, White, Blue, Red
# 4575, Balls: Black, Red, Red, Red
# 4576, Balls: Red, Green, Red, Blue
# 4577, Balls: White, Red, Green, Red
# 4578, Balls: Black, Blue, Blue, Green
# 4579, Balls: Black, White, Red, Black
# 4580, Balls: Red, Blue, Red, Red
# 4581, Balls: Red, Blue, Red, Green
# 4582, Balls: White, Red, Blue, Red
# 4583, Balls: Green, Black, White, Blue
# 4584, Balls: Blue, Black, Red, Red
# 4585, Balls: Blue, Red, White, Black
# 4586, Balls: Red, Blue, Red, Blue
# 4587, Balls: Blue, Red, Red, Green
# 4588, Balls: Red, Blue, Green, Blue
# 4589, Balls: Red, Blue, Red, Red
# 4590, Balls: Blue, Red, Black, Green
# 4591, Balls: Green, Black, Green, Black
# 4592, Balls: Blue, Green, Blue, Blue
# 4593, Balls: Red, Green, White, Red
# 4594, Balls: White, Blue, Blue, Red
# 4595, Balls: Black, Red, Red, Red
# 4596, Balls: Green, White, Black, Blue
# 4597, Balls: Black, Black, Red, Green
# 4598, Balls: Blue, Blue, Red, Blue
# 4599, Balls: White, Black, Black, Red
# 4600, Balls: Black, Green, Blue, Red
# 4601, Balls: Blue, Blue, White, Red
# 4602, Balls: Green, Blue, Red, Green
# 4603, Balls: Red, Red, White, White
# 4604, Balls: Black, Blue, White, Blue
# 4605, Balls: Red, Blue, Red, Red
# 4606, Balls: Blue, White, Red, White
# 4607, Balls: Green, Blue, Black, Red
# 4608, Balls: Blue, Red, Red, Blue
# 4609, Balls: Black, White, Red, Blue
# 4610, Balls: Red, Red, Red, Red
# 4611, Balls: Black, Red, White, Black
# 4612, Balls: Blue, Blue, Blue, Blue
# 4613, Balls: Black, Green, Green, Blue
# 4614, Balls: Blue, Blue, Green, White
# 4615, Balls: Red, Red, Red, Green
# 4616, Balls: White, Green, Green, White
# 4617, Balls: Red, White, Red, Green
# 4618, Balls: Green, Blue, Red, Blue
# 4619, Balls: Blue, Blue, Red, Red
# 4620, Balls: Red, Black, Blue, White
# 4621, Balls: Green, Red, White, Red
# 4622, Balls: Red, White, White, Red
# 4623, Balls: Blue, Red, Green, White
# 4624, Balls: White, Black, Red, Blue
# 4625, Balls: Red, Red, White, Blue
# 4626, Balls: Blue, Red, Blue, Red
# 4627, Balls: Blue, Red, Red, Black
# 4628, Balls: Red, Black, Green, White
# 4629, Balls: White, Red, White, Green
# 4630, Balls: Green, Black, Blue, Red
# 4631, Balls: Blue, Green, Blue, Blue
# 4632, Balls: Green, Black, Blue, Blue
# 4633, Balls: Red, Red, Red, Red
# 4634, Balls: Green, Blue, Black, Blue
# 4635, Balls: Black, Blue, Red, Green
# 4636, Balls: Green, White, Black, Red
# 4637, Balls: Red, Red, Red, Blue
# 4638, Balls: Black, Red, Black, White
# 4639, Balls: Blue, Red, Red, Black
# 4640, Balls: White, Red, Blue, Blue
# 4641, Balls: Red, Red, Red, Black
# 4642, Balls: Black, Blue, Red, Red
# 4643, Balls: Black, Blue, Red, Red
# 4644, Balls: Black, Red, Blue, Red
# 4645, Balls: Blue, Red, Red, Green
# 4646, Balls: Black, Blue, Black, Blue
# 4647, Balls: Red, Blue, Red, Blue
# 4648, Balls: Red, Blue, Red, Black
# 4649, Balls: Blue, Green, White, Blue
# 4650, Balls: Red, White, Red, Black
# 4651, Balls: Green, White, Red, Green
# 4652, Balls: Green, Red, Blue, Blue
# 4653, Balls: Green, Blue, Red, White
# 4654, Balls: Green, Blue, Black, Red
# 4655, Balls: Green, Red, Blue, White
# 4656, Balls: Blue, Red, Black, Green
# 4657, Balls: Green, White, Blue, Red
# 4658, Balls: Black, Blue, Green, Blue
# 4659, Balls: Red, Blue, Blue, Blue
# 4660, Balls: White, Red, Green, Green
# 4661, Balls: Red, Blue, Blue, Red
# 4662, Balls: White, Blue, Green, Black
# 4663, Balls: Green, White, Blue, Green
# 4664, Balls: Green, Blue, Black, Red
# 4665, Balls: White, White, Red, Blue
# 4666, Balls: Black, Green, White, Black
# 4667, Balls: Blue, Green, Blue, Blue
# 4668, Balls: Blue, Green, White, Blue
# 4669, Balls: Black, Green, White, Black
# 4670, Balls: Red, Green, Blue, Red
# 4671, Balls: White, Blue, Red, White
# 4672, Balls: Red, Blue, Blue, Red
# 4673, Balls: Blue, White, White, Red
# 4674, Balls: Red, Red, Blue, Black
# 4675, Balls: Red, Red, Blue, Red
# 4676, Balls: Black, Blue, Black, Blue
# 4677, Balls: Blue, Red, Blue, Black
# 4678, Balls: Green, Green, Blue, Green
# 4679, Balls: Blue, Blue, Black, Black
# 4680, Balls: Blue, Green, Red, Black
# 4681, Balls: Black, Blue, White, Blue
# 4682, Balls: Blue, Red, Red, Black
# 4683, Balls: Blue, Blue, Blue, Red
# 4684, Balls: Blue, Red, Blue, Blue
# 4685, Balls: Blue, Red, Red, White
# 4686, Balls: Green, Red, Blue, Black
# 4687, Balls: Red, Black, Red, Red
# 4688, Balls: Black, Red, Red, Blue
# 4689, Balls: White, Black, White, Blue
# 4690, Balls: Green, Black, Red, White
# 4691, Balls: White, Red, Black, Blue
# 4692, Balls: Blue, Green, Black, Red
# 4693, Balls: Red, Black, Black, Red
# 4694, Balls: Green, Red, Black, Red
# 4695, Balls: Red, Blue, Red, White
# 4696, Balls: Green, Blue, Green, Blue
# 4697, Balls: Black, Blue, Red, Green
# 4698, Balls: Red, White, Green, Black
# 4699, Balls: Blue, White, Green, Red
# 4700, Balls: Blue, White, Red, Red
# 4701, Balls: Red, Blue, Green, Blue
# 4702, Balls: Red, Blue, Green, Red
# 4703, Balls: Blue, Blue, Green, Blue
# 4704, Balls: White, Red, Blue, Blue
# 4705, Balls: Green, Black, Red, Red
# 4706, Balls: Green, Blue, Red, Black
# 4707, Balls: Black, Green, Red, Black
# 4708, Balls: Red, Blue, Red, Red
# 4709, Balls: Green, Blue, Red, Red
# 4710, Balls: Blue, Green, Blue, Blue
# 4711, Balls: Green, Blue, White, Green
# 4712, Balls: Green, White, Green, Green
# 4713, Balls: Black, Red, Black, Red
# 4714, Balls: White, Black, Red, Blue
# 4715, Balls: Green, Blue, White, Blue
# 4716, Balls: Blue, Blue, White, Blue
# 4717, Balls: Red, Blue, Blue, Black
# 4718, Balls: Red, Black, Blue, White
# 4719, Balls: Blue, Red, Red, White
# 4720, Balls: Blue, Blue, White, Green
# 4721, Balls: Black, Red, Blue, White
# 4722, Balls: Red, Blue, Green, Red
# 4723, Balls: Blue, Green, Red, Blue
# 4724, Balls: White, Blue, Green, White
# 4725, Balls: Blue, White, Green, Black
# 4726, Balls: White, White, Black, Blue
# 4727, Balls: Blue, Blue, Black, White
# 4728, Balls: Blue, Green, Blue, Black
# 4729, Balls: Green, Black, Red, Red
# 4730, Balls: Red, White, Green, Green
# 4731, Balls: White, Blue, Red, Black
# 4732, Balls: Blue, Red, Blue, Red
# 4733, Balls: White, Red, White, Green
# 4734, Balls: Black, Blue, Blue, White
# 4735, Balls: Red, Green, Red, Blue
# 4736, Balls: Blue, Red, White, Blue
# 4737, Balls: Green, Green, Green, White
# 4738, Balls: Red, Green, Blue, Green
# 4739, Balls: Green, Blue, Red, Blue
# 4740, Balls: Blue, White, White, Red
# 4741, Balls: Green, White, Green, Green
# 4742, Balls: Blue, Blue, Green, White
# 4743, Balls: Red, Blue, Blue, Red
# 4744, Balls: Blue, Green, Blue, Red
# 4745, Balls: Red, White, White, Red
# 4746, Balls: Blue, Black, Green, Blue
# 4747, Balls: Red, Blue, White, Black
# 4748, Balls: Red, White, Green, Red
# 4749, Balls: Blue, Blue, Blue, Red
# 4750, Balls: Blue, Blue, Green, Green
# 4751, Balls: White, Green, Black, Red
# 4752, Balls: Red, Blue, Red, White
# 4753, Balls: Black, Blue, White, Blue
# 4754, Balls: Black, Black, Green, Green
# 4755, Balls: Black, Blue, White, Blue
# 4756, Balls: Red, White, White, White
# 4757, Balls: Red, Red, Blue, Green
# 4758, Balls: Green, White, Blue, White
# 4759, Balls: Blue, Blue, Green, Blue
# 4760, Balls: Blue, Blue, Red, White
# 4761, Balls: Red, Blue, Green, Red
# 4762, Balls: Blue, Red, Blue, Green
# 4763, Balls: Blue, Black, Blue, Red
# 4764, Balls: Green, Black, White, Green
# 4765, Balls: Red, White, Red, Red
# 4766, Balls: Black, Red, Red, Blue
# 4767, Balls: Blue, Black, Red, Green
# 4768, Balls: Blue, Red, Red, Blue
# 4769, Balls: Green, Black, White, Green
# 4770, Balls: Red, Red, Red, Red
# 4771, Balls: Green, Red, Blue, Red
# 4772, Balls: Blue, Blue, Black, Green
# 4773, Balls: White, Red, Blue, Red
# 4774, Balls: Red, Black, Blue, Blue
# 4775, Balls: Red, Red, Red, Blue
# 4776, Balls: Green, White, Red, Red
# 4777, Balls: White, White, Blue, Blue
# 4778, Balls: Blue, Red, Black, Black
# 4779, Balls: Blue, Red, Black, Red
# 4780, Balls: White, Blue, Red, Blue
# 4781, Balls: Red, Red, Blue, Blue
# 4782, Balls: Blue, Green, Red, Black
# 4783, Balls: Black, Black, Red, Blue
# 4784, Balls: Red, Red, Blue, Blue
# 4785, Balls: Red, Black, Blue, Blue
# 4786, Balls: Red, Blue, Green, White
# 4787, Balls: Blue, Red, Black, Black
# 4788, Balls: Red, Green, Red, Blue
# 4789, Balls: Black, White, Red, Blue
# 4790, Balls: White, Red, Red, Blue
# 4791, Balls: Black, Blue, Red, Red
# 4792, Balls: Green, Red, Blue, Black
# 4793, Balls: Blue, Red, Green, Red
# 4794, Balls: Red, Red, Red, Black
# 4795, Balls: Blue, Blue, Black, White
# 4796, Balls: Red, Blue, Black, Red
# 4797, Balls: Red, Black, Red, Red
# 4798, Balls: Blue, Blue, Red, Black
# 4799, Balls: Blue, Red, Red, Red
# 4800, Balls: Black, Green, Red, Black
# 4801, Balls: Blue, White, Red, Blue
# 4802, Balls: Red, Red, Black, Red
# 4803, Balls: Blue, Green, Green, Red
# 4804, Balls: Red, Red, Black, Blue
# 4805, Balls: White, Blue, White, Blue
# 4806, Balls: Blue, Red, Blue, Green
# 4807, Balls: Red, Red, Black, Blue
# 4808, Balls: Green, Red, Red, Red
# 4809, Balls: Green, White, Red, Red
# 4810, Balls: White, Green, Red, Green
# 4811, Balls: Green, Red, White, White
# 4812, Balls: Blue, Red, Blue, Blue
# 4813, Balls: Red, Green, Red, Green
# 4814, Balls: Blue, Green, Red, Black
# 4815, Balls: Green, Black, Blue, Green
# 4816, Balls: Blue, Red, Black, Red
# 4817, Balls: Blue, Blue, Green, Red
# 4818, Balls: Red, Blue, White, Blue
# 4819, Balls: Blue, Red, Blue, Blue
# 4820, Balls: Red, Green, Red, Blue
# 4821, Balls: Blue, Black, Red, Green
# 4822, Balls: Red, Red, Green, Red
# 4823, Balls: Red, Black, Green, Red
# 4824, Balls: Red, Green, Black, Blue
# 4825, Balls: White, Red, Red, Black
# 4826, Balls: Green, Green, Black, Black
# 4827, Balls: Green, Blue, White, Green
# 4828, Balls: Blue, White, Red, Red
# 4829, Balls: Red, Black, Blue, White
# 4830, Balls: Red, Red, Red, Red
# 4831, Balls: Blue, Red, Black, Black
# 4832, Balls: White, Red, White, Green
# 4833, Balls: Black, Blue, Red, White
# 4834, Balls: Red, Red, Green, Black
# 4835, Balls: Green, Red, White, Red
# 4836, Balls: Blue, Blue, Red, Blue
# 4837, Balls: Red, Green, Blue, Red
# 4838, Balls: Blue, Blue, Red, Green
# 4839, Balls: Red, Red, Blue, Black
# 4840, Balls: Blue, White, Green, Red
# 4841, Balls: White, Green, Red, Black
# 4842, Balls: Green, Blue, Blue, Green
# 4843, Balls: Black, Green, Blue, Green
# 4844, Balls: White, Green, Red, Red
# 4845, Balls: Red, Blue, Red, Green
# 4846, Balls: Red, White, White, Blue
# 4847, Balls: Green, Red, Green, Green
# 4848, Balls: Blue, Green, Blue, White
# 4849, Balls: Red, Blue, Blue, Red
# 4850, Balls: Blue, Red, Red, Red
# 4851, Balls: Blue, Blue, Red, Blue
# 4852, Balls: White, Blue, Black, Blue
# 4853, Balls: Black, White, Red, Green
# 4854, Balls: Black, Blue, Red, Blue
# 4855, Balls: Blue, Red, White, Red
# 4856, Balls: Green, Red, Red, Red
# 4857, Balls: Blue, Red, White, Blue
# 4858, Balls: Green, Blue, Green, White
# 4859, Balls: Black, Blue, Green, White
# 4860, Balls: Black, Red, Blue, White
# 4861, Balls: Green, Blue, Black, Blue
# 4862, Balls: Green, Blue, Red, Black
# 4863, Balls: Red, Red, Blue, Black
# 4864, Balls: Red, Red, Red, Red
# 4865, Balls: Black, Red, Blue, Red
# 4866, Balls: Blue, Red, Black, Blue
# 4867, Balls: Red, Red, Red, Blue
# 4868, Balls: Green, Green, Green, Red
# 4869, Balls: Green, Blue, Red, White
# 4870, Balls: Green, Blue, Green, Blue
# 4871, Balls: Red, Red, Blue, Black
# 4872, Balls: Blue, Red, Red, White
# 4873, Balls: Red, Blue, Blue, Blue
# 4874, Balls: Green, Blue, Red, Green
# 4875, Balls: Green, White, Green, Blue
# 4876, Balls: Red, Blue, Blue, Red
# 4877, Balls: Red, White, Blue, White
# 4878, Balls: Black, Red, Red, Blue
# 4879, Balls: Red, Red, Red, Red
# 4880, Balls: Green, Green, Black, Green
# 4881, Balls: Green, Red, Blue, Red
# 4882, Balls: Red, Blue, Red, Green
# 4883, Balls: Red, Red, Blue, Green
# 4884, Balls: Red, Red, Red, Red
# 4885, Balls: Black, Red, Red, Red
# 4886, Balls: Blue, Blue, Blue, Blue
# 4887, Balls: Green, Black, White, Red
# 4888, Balls: Black, White, Blue, White
# 4889, Balls: Blue, Green, Red, Green
# 4890, Balls: Red, Green, Black, Green
# 4891, Balls: Red, Green, Black, Red
# 4892, Balls: White, Green, Blue, White
# 4893, Balls: Green, Blue, Blue, Red
# 4894, Balls: White, Blue, Red, Red
# 4895, Balls: Blue, White, Green, Red
# 4896, Balls: Blue, Red, Blue, Black
# 4897, Balls: Blue, Black, Red, Blue
# 4898, Balls: Red, Black, Red, Blue
# 4899, Balls: Blue, Red, Black, Red
# 4900, Balls: White, Red, Red, White
# 4901, Balls: Red, Green, Red, White
# 4902, Balls: Black, Blue, Blue, White
# 4903, Balls: White, Blue, Red, Red
# 4904, Balls: Black, Red, Blue, Blue
# 4905, Balls: Blue, Red, White, Blue
# 4906, Balls: Blue, Green, Green, Red
# 4907, Balls: White, Blue, White, White
# 4908, Balls: Blue, Red, Red, Blue
# 4909, Balls: Black, Blue, Green, Red
# 4910, Balls: Red, Green, Blue, Red
# 4911, Balls: Green, White, Red, Black
# 4912, Balls: Red, Red, Blue, Black
# 4913, Balls: Red, Red, White, Blue
# 4914, Balls: Blue, Black, Red, White
# 4915, Balls: Green, Red, Red, Blue
# 4916, Balls: White, Blue, White, Green
# 4917, Balls: Blue, Black, Blue, White
# 4918, Balls: Red, Red, Red, Green
# 4919, Balls: Blue, White, Black, Red
# 4920, Balls: Blue, Red, Black, Blue
# 4921, Balls: Green, Red, Red, Red
# 4922, Balls: Red, Blue, Blue, Red
# 4923, Balls: White, Blue, Green, Blue
# 4924, Balls: Red, Green, Blue, Black
# 4925, Balls: White, Blue, Green, Red
# 4926, Balls: Blue, Blue, Blue, White
# 4927, Balls: White, Blue, Red, Red
# 4928, Balls: Blue, Black, Red, Red
# 4929, Balls: Red, Green, Blue, Green
# 4930, Balls: White, White, White, Red
# 4931, Balls: Blue, Green, Blue, Blue
# 4932, Balls: Blue, Green, Green, Red
# 4933, Balls: Red, Black, Red, Black
# 4934, Balls: Blue, Green, Blue, Blue
# 4935, Balls: Blue, Red, Red, Blue
# 4936, Balls: Blue, Red, Black, Black
# 4937, Balls: Blue, Blue, White, Red
# 4938, Balls: Red, Blue, Blue, Red
# 4939, Balls: Blue, White, Red, Green
# 4940, Balls: Red, Blue, Red, Red
# 4941, Balls: Blue, Red, Blue, White
# 4942, Balls: Blue, Blue, Green, Blue
# 4943, Balls: Black, Blue, Green, Blue
# 4944, Balls: Red, Red, Blue, Red
# 4945, Balls: Red, Blue, Red, Black
# 4946, Balls: Green, White, Blue, Blue
# 4947, Balls: Blue, Black, Red, Black
# 4948, Balls: Red, Green, Blue, Red
# 4949, Balls: White, Blue, Green, Red
# 4950, Balls: Red, Red, Black, Blue
# 4951, Balls: Blue, Green, Green, Black
# 4952, Balls: Blue, Green, Red, Black
# 4953, Balls: Green, Red, Red, Red
# 4954, Balls: Red, Blue, Red, Black
# 4955, Balls: Red, White, Blue, Red
# 4956, Balls: Blue, Blue, Black, Green
# 4957, Balls: Blue, Green, Red, Red
# 4958, Balls: Blue, Black, Red, White
# 4959, Balls: Green, Blue, White, White
# 4960, Balls: Red, Green, Black, Red
# 4961, Balls: White, Blue, Green, Blue
# 4962, Balls: Blue, Red, Red, Green
# 4963, Balls: Black, Green, Blue, Red
# 4964, Balls: Blue, Red, Green, Blue
# 4965, Balls: White, Black, Black, Blue
# 4966, Balls: White, Green, Blue, Red
# 4967, Balls: Red, Blue, White, Red
# 4968, Balls: Red, Black, Black, White
# 4969, Balls: Red, Black, Blue, Red
# 4970, Balls: Red, Green, Green, White
# 4971, Balls: Black, Blue, Red, Green
# 4972, Balls: White, White, Blue, Black
# 4973, Balls: White, Black, Red, Blue
# 4974, Balls: White, Blue, Red, Blue
# 4975, Balls: Green, Blue, Red, Blue
# 4976, Balls: Black, Red, Red, Red
# 4977, Balls: Red, Green, Blue, Black
# 4978, Balls: White, Green, White, Blue
# 4979, Balls: Green, Blue, Green, Green
# 4980, Balls: Red, Green, Black, Blue
# 4981, Balls: Blue, Blue, Blue, White
# 4982, Balls: Green, Green, Red, Black
# 4983, Balls: Blue, White, Blue, Green
# 4984, Balls: Blue, Blue, White, Red
# 4985, Balls: Red, White, White, Red
# 4986, Balls: White, Blue, Black, Blue
# 4987, Balls: Blue, Black, Blue, Red
# 4988, Balls: Black, Red, Green, Blue
# 4989, Balls: Blue, Black, White, Red
# 4990, Balls: Blue, Green, Green, Black
# 4991, Balls: Blue, White, Green, White
# 4992, Balls: Blue, Green, Green, Red
# 4993, Balls: Blue, White, Green, Green
# 4994, Balls: Red, Red, Green, Red
# 4995, Balls: Black, Red, Black, Red
# 4996, Balls: Red, Red, Blue, Blue
# 4997, Balls: Black, White, Green, Green
# 4998, Balls: Green, Green, Blue, Blue
# 4999, Balls: Black, Red, Blue, Blue
# 5000, Balls: Blue, Black, Red, Blue
# 5001, Balls: Blue, Blue, Black, Red
# 5002, Balls: Blue, Blue, Green, Red
# 5003, Balls: Green, Black, Black, Red
# 5004, Balls: Red, Blue, Black, Black
# 5005, Balls: White, Red, Red, Red
# 5006, Balls: Black, Black, Red, Blue
# 5007, Balls: Blue, Green, Blue, Green
# 5008, Balls: Green, Blue, Blue, Red
# 5009, Balls: Red, White, Black, White
# 5010, Balls: Blue, Blue, Red, Blue
# 5011, Balls: White, Blue, Black, Red
# 5012, Balls: Black, Blue, Green, Red
# 5013, Balls: White, Blue, Red, Red
# 5014, Balls: White, Blue, Red, Blue
# 5015, Balls: Blue, Green, Blue, Blue
# 5016, Balls: Green, Blue, Red, Blue
# 5017, Balls: Blue, Green, Blue, Red
# 5018, Balls: Blue, Red, Blue, Blue
# 5019, Balls: Red, Blue, Green, Blue
# 5020, Balls: Green, Green, Green, Black
# 5021, Balls: Black, Blue, Blue, Blue
# 5022, Balls: Blue, Black, Blue, Blue
# 5023, Balls: Red, Red, Blue, Red
# 5024, Balls: Red, Blue, Red, Blue
# 5025, Balls: Black, Red, Black, White
# 5026, Balls: Blue, Green, Green, Green
# 5027, Balls: White, Green, Red, Red
# 5028, Balls: White, White, Green, Blue
# 5029, Balls: Blue, White, Red, Red
# 5030, Balls: Red, White, Red, Black
# 5031, Balls: Blue, Black, Red, White
# 5032, Balls: White, Green, Black, White
# 5033, Balls: Green, Black, White, Black
# 5034, Balls: Blue, Red, Blue, Blue
# 5035, Balls: Red, Green, Black, Blue
# 5036, Balls: Red, Blue, Blue, Blue
# 5037, Balls: Blue, Blue, Blue, Red
# 5038, Balls: Green, Black, Red, Red
# 5039, Balls: Red, Blue, Black, Blue
# 5040, Balls: Green, White, Red, Red
# 5041, Balls: Black, Red, White, Blue
# 5042, Balls: Black, Blue, Red, Blue
# 5043, Balls: Green, Green, Blue, Blue
# 5044, Balls: Black, Red, Red, White
# 5045, Balls: Black, Blue, Blue, Blue
# 5046, Balls: Blue, Red, Blue, Blue
# 5047, Balls: Red, White, Green, White
# 5048, Balls: Black, Blue, White, Black
# 5049, Balls: Red, Blue, White, Black
# 5050, Balls: Red, Black, White, Red
# 5051, Balls: Blue, Black, Red, Blue
# 5052, Balls: Green, Blue, White, Green
# 5053, Balls: Blue, Blue, Blue, Blue
# 5054, Balls: Blue, Black, Black, Red
# 5055, Balls: White, Red, White, Red
# 5056, Balls: Black, Black, Blue, Blue
# 5057, Balls: White, Green, Red, Blue
# 5058, Balls: Red, White, Green, Green
# 5059, Balls: Blue, Red, Blue, Red
# 5060, Balls: Blue, Red, Red, Green
# 5061, Balls: Red, Blue, Blue, Red
# 5062, Balls: Red, Blue, Blue, Blue
# 5063, Balls: Blue, Red, Green, Red
# 5064, Balls: Blue, White, Green, White
# 5065, Balls: Black, Blue, White, Red
# 5066, Balls: Black, Black, Blue, Red
# 5067, Balls: Blue, Red, Blue, Black
# 5068, Balls: Red, Green, Blue, Black
# 5069, Balls: Blue, White, Red, Green
# 5070, Balls: Red, Red, Red, White
# 5071, Balls: Black, Blue, Red, Black
# 5072, Balls: Blue, Blue, Red, Green
# 5073, Balls: Black, Green, Red, Blue
# 5074, Balls: Red, Blue, Red, Blue
# 5075, Balls: Green, Blue, White, Red
# 5076, Balls: White, Red, Blue, Black
# 5077, Balls: Blue, Red, White, Red
# 5078, Balls: Blue, Blue, Red, White
# 5079, Balls: Red, Red, Blue, Green
# 5080, Balls: Red, Red, Blue, Blue
# 5081, Balls: Red, Red, Red, White
# 5082, Balls: Blue, Black, Blue, Blue
# 5083, Balls: Green, White, Green, Red
# 5084, Balls: Red, Blue, Black, Black
# 5085, Balls: Red, White, White, Red
# 5086, Balls: Black, Green, Blue, Red
# 5087, Balls: Green, Black, White, Green
# 5088, Balls: Red, White, White, Red
# 5089, Balls: White, White, Black, Red
# 5090, Balls: White, Green, Blue, Green
# 5091, Balls: White, Green, Red, Green
# 5092, Balls: Blue, White, Green, White
# 5093, Balls: Blue, Red, Blue, Red
# 5094, Balls: White, White, Red, Blue
# 5095, Balls: Green, Blue, Blue, Green
# 5096, Balls: Red, Blue, Red, Blue
# 5097, Balls: Black, Blue, Green, Red
# 5098, Balls: White, Red, Red, Blue
# 5099, Balls: Blue, Blue, Black, Blue
# 5100, Balls: Blue, Black, Red, Blue
# 5101, Balls: Red, Blue, Red, Blue
# 5102, Balls: Black, Black, Red, Red
# 5103, Balls: Black, Black, Red, Blue
# 5104, Balls: Red, Red, Blue, Red
# 5105, Balls: Red, Blue, White, White
# 5106, Balls: Black, Red, Blue, Red
# 5107, Balls: Blue, Black, Blue, Blue
# 5108, Balls: Blue, Black, Red, Blue
# 5109, Balls: Red, Green, Blue, Red
# 5110, Balls: Red, Red, Red, Green
# 5111, Balls: Red, Red, Red, Blue
# 5112, Balls: Blue, Black, Black, Blue
# 5113, Balls: Red, Red, Red, Red
# 5114, Balls: Green, Green, Green, Blue
# 5115, Balls: Blue, White, Red, Red
# 5116, Balls: Blue, Black, White, Green
# 5117, Balls: Green, Red, Red, Red
# 5118, Balls: Black, Black, Red, Red
# 5119, Balls: Black, Red, Black, Blue
# 5120, Balls: Black, Green, Black, Green
# 5121, Balls: Red, Red, White, Blue
# 5122, Balls: White, White, Blue, Green
# 5123, Balls: Red, Green, Black, White
# 5124, Balls: Green, Red, Blue, Green
# 5125, Balls: Green, Blue, Black, Red
# 5126, Balls: Blue, Green, Black, Red
# 5127, Balls: Blue, Blue, White, Black
# 5128, Balls: Green, Red, Red, White
# 5129, Balls: Green, Red, White, Red
# 5130, Balls: Green, Red, Black, Blue
# 5131, Balls: Red, Blue, Red, Red
# 5132, Balls: Blue, Red, White, Blue
# 5133, Balls: White, Red, Black, Blue
# 5134, Balls: Blue, Blue, Blue, White
# 5135, Balls: Blue, Blue, Black, Green
# 5136, Balls: Green, Blue, Red, Black
# 5137, Balls: Green, Red, Blue, Green
# 5138, Balls: Green, Green, Red, Blue
# 5139, Balls: White, Black, Blue, Blue
# 5140, Balls: Red, Red, Black, Red
# 5141, Balls: Red, Blue, Red, Green
# 5142, Balls: Green, Black, Black, White
# 5143, Balls: Blue, Red, Red, Red
# 5144, Balls: Blue, Black, Blue, Green
# 5145, Balls: Blue, Blue, Blue, Green
